NODOS:
0, 1, 0, 400, 300
1, 0, 0, 350, 250
2, 0, 0, 450, 250
3, 0, 0, 450, 350
4, 0, 0, 350, 350
5, 2, 200, 100, 100
6, 0, 0, 150, 150
7, 0, 0, 200, 200
8, 0, 0, 250, 250
9, 2, 300, 100, 500
10, 0, 0, 150, 450
11, 0, 0, 200, 400
12, 0, 0, 250, 350
13, 2, 800, 700, 100
14, 0, 0, 650, 150
15, 0, 0, 600, 200
16, 0, 0, 550, 250
17, 2, 250, 700, 500
18, 0, 0, 650, 450
19, 0, 0, 600, 400
20, 0, 0, 550, 350
21, 0, 0, 300, 100
22, 0, 0, 500, 100
23, 0, 0, 500, 550
24, 2, 1000, 50, 300
25, 0, 0, 100, 300
26, 0, 0, 150, 300
27, 0, 0, 200, 300
28, 0, 0, 250, 300
29, 2, 500, 750, 300
30, 0, 0, 700, 250
31, 0, 0, 650, 250
32, 0, 0, 600, 250
33, 2, 150, 400, 50
34, 0, 0, 400, 100
35, 0, 0, 400, 150
36, 0, 0, 400, 200
37, 2, 150, 400, 550
38, 0, 0, 400, 500
39, 0, 0, 400, 450
40, 0, 0, 400, 400
41, 0, 0, 50, 50
42, 0, 0, 750, 50
43, 0, 0, 750, 550
44, 0, 0, 50, 550
45, 0, 0, 300, 300
46, 0, 0, 500, 300
47, 0, 0, 200, 500
CONEXIONES:
0, 1, 10
0, 2, 10
0, 3, 10
0, 4, 10
5, 6, 1
6, 7, 100
7, 8, 100
8, 1, 100
5, 41, 20
41, 21, 10
21, 1, 10
9, 10, 5
10, 11, 5
11, 12, 5
12, 4, 5
9, 44, 200
44, 0, 200
13, 14, 2
14, 15, 2
15, 16, 2
16, 2, 50
13, 42, 150
42, 2, 150
17, 18, 5
18, 19, 5
19, 20, 5
20, 3, 5
17, 43, 200
43, 3, 200
24, 25, 50
25, 26, 20
26, 27, 10
27, 28, 5
28, 0, 5
24, 5, 20
29, 30, 10
30, 31, 10
31, 32, 10
32, 16, 10
29, 13, 30
33, 34, 15
34, 35, 15
35, 36, 15
36, 0, 15
33, 22, 5
22, 0, 80
37, 38, 10
38, 39, 10
39, 40, 10
40, 0, 10
37, 23, 5
23, 0, 100
45, 0, 200
46, 0, 200
47, 10, 1
47, 39, 20

